customer_id,customer_name,customer_mobile                         ,frequency
my4DQUh0,rosa.my4DQUh0,+886921365538,0
dwOr26l1,jack.dwOr26l1,+886937341817,0
MqWyntWi,amy.MqWyntWi,+886998905438,4
rNvtuBeR,tommy.rNvtuBeR,+886943475479,7
HWwFbuzR,hank.HWwFbuzR,+886956828287,3
dgHfkJwg,dora.dgHfkJwg,+886933582903,11
Q17oILUv,jason.Q17oILUv,+886906264706,15
EbALerel,dora.EbALerel,+886911617290,11
Mtyae6jl,jack.Mtyae6jl,+886958208410,0
xBv03lAu,jason.xBv03lAu,+886989843552,6
pjerAky7,jack.pjerAky7,+886917745774,16
TPm9RcGk,jason.TPm9RcGk,+886977477256,8
B0U8wiiM,amy.B0U8wiiM,+886955712314,3
